source-id;question;answer;picture;alternatives;hints;difficulty
csv-planter-33;Hvilken plante er kommuneblomst i Songdalen og fylkesblomst i Hedmark;geitrams;Chamerion_angustifolium.jpg;;;3
csv-planter-34;Hvilken plante er kommuneblomst i Bygland og Hemne;hassel;Corylus_avellana.jpg;;;3
csv-planter-35;Hvilken plante er kommuneblomst i Leirfjord og Sandnes;hestehov;Tussilago_farfara.jpg;;;3
csv-planter-36;Hvilken plante er kommuneblomst i Iveland og Hof;hvit nøkkerose;Nymphaea_alba_ssp._alba.jpg;;;3
csv-planter-37;Hvilken plante er kommuneblomst i Kvinesdal, Høylandet, Hjelmeland og Gloppen;hvitveis;Anemone_nemorosa.jpg;;;3
csv-planter-38;Hvilken plante er kommuneblomst i Sund, Namdalseid og fylkesblomst i Rogaland;klokkelyng;Erica_tetralix.jpg;;;3
csv-planter-39;Hvilken plante er kommuneblomst i Lyngdal og Stord;kristtorn;Ilex_aquifolium.jpg;;;3
csv-planter-40;Hvilken plante er kommuneblomst i Hyllestad, Rissa og fylkesblomst i Hordaland;kusymre;Primula_vulgaris.jpg;;;3
csv-planter-41;Hvilken plante er kommuneblomst i Birkenes, Audnedal, Hornindal, Meldal og fylkesblomst i Østfold;liljekonvall;Convallaria_majalis.jpg;;;3
csv-planter-42;Hvilken plante er kommuneblomst i Hægebostad, Eidfjord, Meråker og fylkesblomst i Finnmark;molte;Rubus_chamaemorus.jpg;;;3
csv-planter-43;Hvilken plante er kommuneblomst i Lillesand og Trondheim;nyperose;Rosa_sp..jpg;;;3
csv-planter-44;Hvilken plante er kommuneblomst i Karmøy, Fjell og Solund;purpurlyng;Erica_cinerea.jpg;;;3
csv-planter-45;Hvilken plante er kommuneblomst i Flekkefjord, Vaksdal og fylkesblomst i Sogn og Fjordane;revebjelle;Digitalis_purpurea.jpg;;;3
csv-planter-46;Hvilken plante er kommuneblomst i Gjerstad og Skaun;rogn;Sorbus_aucuparia.jpg;;;3
csv-planter-47;Hvilken plante er kommuneblomst i Modalen, Snillfjord og Rødøy;rosenrot;Rhodiola_rosea.jpg;;;3
csv-planter-48;Hvilken plante er kommuneblomst i Lindesnes, Fitjar, Askvoll og Roan;røsslyng;Calluna_vulgaris.jpg;;;3
csv-planter-59;Hvilken plante er kommuneblomst i Bykle, Odda og Midtre Gauldal;søterot;Gentiana_purpurea.jpg;;;3
csv-planter-50;Hvilken plante er kommuneblomst i Sola, Grimstad, Åsnes og Nøtterøy;stemorsblom;Viola_tricolor.jpg;natt og dag;;3
csv-planter-51;Hvilken plante er kommuneblomst i Austrheim og Vågsøy;tiriltunge;Lotus_corniculatus.jpg;;;3
csv-planter-52;Hvilken plante er kommuneblomst i Lindås og Aust-Agder;vivendel;Lonicera_periclymenum.jpg;;;3
